City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,richards bay,-28.783,32.0377,22.16,94,10,1.77,ZA,1675743859
113,biltine,14.5333,20.9167,20.04,18,22,6.14,TD,1675743859
114,stryn,61.9045,6.7226,8.49,94,100,3.81,NO,1675743860
115,roblin,51.23,-101.3565,-8.38,89,23,5.39,CA,1675743860
116,barra do garcas,-15.89,-52.2567,22.84,93,100,1.51,BR,1675743861
117,pala,9.3642,14.9046,21.63,19,75,3.36,TD,1675743861
118,san cristobal,7.7669,-72.225,22.1,77,64,0.64,VE,1675743861
119,grand gaube,-20.0064,57.6608,27.99,75,14,3.58,MU,1675743862
120,mar del plata,-38.0023,-57.5575,20.61,76,0,8.49,AR,1675743862
121,kulhudhuffushi,6.6221,73.07,27.07,74,95,4.57,MV,1675743862
122,tobol,52.6844,62.5794,-17.47,98,90,1.61,KZ,1675743856
123,rio cuarto,-33.1307,-64.3499,22.87,53,0,2.57,AR,1675743863
124,tuatapere,-46.1333,167.6833,14.57,70,59,5.97,NZ,1675743863
125,hobe sound,27.0595,-80.1364,21.64,72,0,2.57,US,1675743864
126,touros,-5.1989,-35.4608,26.21,74,39,5.35,BR,1675743864
127,mariestad,58.7097,13.8237,1.32,99,92,6.14,SE,1675743865
128,aasiaat,68.7098,-52.8699,-19.46,92,100,1.91,GL,1675743865
129,bredasdorp,-34.5322,20.0403,19.45,96,82,1.41,ZA,1675743866
130,kodiak,57.79,-152.4072,0.73,75,75,6.69,US,1675743866
131,acarau,-2.8856,-40.12,24.91,85,44,3.05,BR,1675743867
132,norman wells,65.282,-126.8329,-23.98,77,100,2.57,CA,1675743868
133,vila franca do campo,37.7167,-25.4333,13.23,89,99,6.76,PT,1675743868
134,santiago del estero,-27.7951,-64.2615,26.46,34,0,2.55,AR,1675743711
135,cap estate,14.0833,-60.95,24.95,76,91,7.76,LC,1675743869
136,arraial do cabo,-22.9661,-42.0278,24.06,92,99,0.47,BR,1675743869
137,bethel,41.3712,-73.414,1.2,61,0,2.06,US,1675743870
138,sao filipe,14.8961,-24.4956,19.9,65,39,7.45,CV,1675743870
139,souris,49.6172,-100.2612,-7.37,83,11,5.47,CA,1675743870
140,thompson,55.7435,-97.8558,-20.91,77,0,2.57,CA,1675743871
141,namatanai,-3.6667,152.4333,29.35,69,91,3.26,PG,1675743871
142,haines junction,60.7522,-137.5108,-7.03,68,100,1.03,CA,1675743871
143,huamachuco,-7.8,-78.0667,10.88,91,98,1.18,PE,1675743872
144,vigrestad,58.5667,5.7,5.7,90,91,4.7,NO,1675743872
145,san quintin,30.4833,-115.95,13.58,72,0,1.84,MX,1675743872
146,seoul,37.5683,126.9778,6.78,55,75,3.6,KR,1675743838
147,talnakh,69.4865,88.3972,-23.22,97,99,2.81,RU,1675743873
148,harper,4.375,-7.7169,25.69,85,89,2.53,LR,1675743873
149,lazaro cardenas,17.9583,-102.2,23.05,82,9,0.68,MX,1675743613
150,college,64.8569,-147.8028,-16.41,81,75,0.0,US,1675743874
151,east london,-33.0153,27.9116,22.52,88,0,3.6,ZA,1675743874
152,plettenberg bay,-34.0527,23.3716,20.99,95,80,2.37,ZA,1675743874
153,iqaluit,63.7506,-68.5145,-35.15,73,0,0.0,CA,1675743875
154,the valley,18.217,-63.0578,25.05,77,0,8.91,AI,1675743601
155,xam nua,20.4197,104.0439,27.31,36,6,2.43,LA,1675743875
156,mantua,45.1667,10.7833,-0.37,71,1,1.34,IT,1675743875
157,vardo,70.3705,31.1107,1.99,87,40,12.86,NO,1675743876
158,almaznyy,48.0448,40.045,-10.34,89,100,6.99,RU,1675743876
159,piney green,34.716,-77.3202,7.73,85,0,2.06,US,1675743876
160,vila velha,-20.3297,-40.2925,25.97,89,0,1.54,BR,1675743877
161,maniitsoq,65.4167,-52.9,-15.09,89,100,1.3,GL,1675743877
162,carnarvon,-24.8667,113.6333,28.86,49,0,7.62,AU,1675743877
163,kedrovyy,56.1667,91.8167,-19.77,92,95,1.93,RU,1675743878
164,majene,-3.5403,118.9707,30.88,58,100,3.82,ID,1675743752
165,ararat,39.8317,44.7049,3.19,86,99,3.71,AM,1675743878
166,caravelas,-17.7125,-39.2481,24.74,92,2,3.1,BR,1675743878
167,joao pinheiro,-17.7425,-46.1725,20.73,83,85,1.83,BR,1675743590
168,sibu,2.3,111.8167,28.17,78,40,0.0,MY,1675743781
169,rexburg,43.826,-111.7897,-1.99,86,100,5.14,US,1675743879
170,egvekinot,66.3167,-179.1667,-27.93,89,100,3.67,RU,1675743765
171,rosarito,32.3333,-117.0333,13.53,58,0,3.38,MX,1675743880
172,chokurdakh,70.6333,147.9167,-36.75,100,95,1.51,RU,1675743880
173,lasa,46.6166,10.7002,-1.51,90,72,0.29,IT,1675743880
174,valparaiso,-33.0393,-71.6273,15.8,94,100,1.03,CL,1675743752
175,keuruu,62.2667,24.7,-2.89,90,100,2.89,FI,1675743880
176,saskylakh,71.9167,114.0833,-38.25,100,100,0.79,RU,1675743881
177,borba,-4.3878,-59.5939,22.44,99,93,0.83,BR,1675743881
178,waldkirch,48.0959,7.9637,0.33,67,40,3.74,DE,1675743805
179,cidreira,-30.1811,-50.2056,22.81,78,0,4.15,BR,1675743882
180,praia da vitoria,38.7333,-27.0667,12.64,87,75,10.39,PT,1675743824
181,lavrentiya,65.5833,-171.0,-27.34,91,74,3.07,RU,1675743882
182,yellowknife,62.456,-114.3525,-19.71,77,100,5.66,CA,1675743809
183,lorengau,-2.0226,147.2712,26.22,86,100,3.29,PG,1675743596
184,longyearbyen,78.2186,15.6401,-1.09,69,75,11.83,SJ,1675743882
185,cuervos,32.6314,-114.8556,17.18,23,0,5.25,MX,1675743883
186,linxia,35.6003,103.2064,2.79,35,100,1.32,CN,1675743883
187,cayenne,4.9333,-52.3333,24.02,94,75,1.54,GF,1675743884
188,hastings,50.8552,0.5729,3.62,83,0,3.1,GB,1675743884
189,butaritari,3.0707,172.7902,27.39,80,98,9.59,KI,1675743884
190,hithadhoo,-0.6,73.0833,27.7,66,99,4.08,MV,1675743885
191,vercelli,45.3231,8.4153,2.17,65,88,4.18,IT,1675743885
192,esperance,-33.8667,121.9,23.0,70,0,8.31,AU,1675743885
193,brokopondo,4.75,-55.1667,23.35,92,100,3.65,SR,1675743886
194,ruidoso,33.3317,-105.673,2.64,42,0,2.57,US,1675743778
195,novoagansk,61.9449,76.6625,-14.16,96,100,1.66,RU,1675743886
196,cherskiy,68.75,161.3,-37.0,100,100,1.7,RU,1675743886
197,shingu,33.7333,135.9833,13.17,63,98,2.63,JP,1675743887
198,half moon bay,37.4636,-122.4286,11.59,70,0,4.63,US,1675743887
199,port lincoln,-34.7333,135.8667,22.99,59,0,4.42,AU,1675743887
200,mayo,38.8876,-76.5119,4.52,74,0,2.57,US,1675743888
201,kingman,35.1894,-114.053,10.14,35,0,6.17,US,1675743888
202,el bagre,7.5927,-74.8086,23.69,93,54,0.53,CO,1675743888
203,matara,5.9485,80.5353,26.14,82,100,2.34,LK,1675743888
204,kapenguria,1.2511,35.0895,12.76,41,76,2.5,KE,1675743889
205,morlaix,48.5833,-4.0,2.34,100,6,0.51,FR,1675743889
206,svetlaya,46.5389,138.3297,-6.47,43,7,2.2,RU,1675743890
207,hualmay,-11.0964,-77.6139,22.38,83,81,2.86,PE,1675743890
208,gizo,-8.103,156.8419,28.09,75,100,5.59,SB,1675743890
209,troitsko-pechorsk,62.7084,56.1964,-25.14,100,100,1.2,RU,1675743890
210,krasne,49.9145,24.6134,-7.17,96,100,3.37,UA,1675743891
211,boguchany,58.3814,97.4531,-16.27,98,100,0.47,RU,1675743891
212,kahului,20.8947,-156.47,24.91,75,20,9.77,US,1675743891
213,osorno,-40.5667,-73.15,14.17,77,0,1.03,CL,1675743770
214,sinnamary,5.3833,-52.95,24.15,90,95,5.3,GF,1675743892
215,omsukchan,62.5333,155.8,-33.46,96,96,2.38,RU,1675743892
216,ancud,-41.8697,-73.8203,10.84,91,0,1.41,CL,1675743892
217,gat,31.61,34.7642,12.38,100,100,10.94,IL,1675743893
218,usinsk,65.9939,57.5281,-21.21,100,99,4.96,RU,1675743893
219,mahon,39.8885,4.2658,10.31,93,75,5.66,ES,1675743893
220,tutoia,-2.7619,-42.2744,24.83,89,100,3.83,BR,1675743894
221,san patricio,28.017,-97.5169,21.92,86,84,7.09,US,1675743778
222,darbhanga,26.1667,85.9,19.58,43,0,1.41,IN,1675743894
223,mayya,61.7333,130.2811,-42.38,95,100,1.43,RU,1675743895
224,providencia,28.7167,-111.5833,14.0,56,39,5.65,MX,1675743895
225,hirara,24.8,125.2833,22.15,78,75,3.6,JP,1675743895
226,uribia,11.7139,-72.266,24.88,78,3,6.53,CO,1675743895
227,tara,56.8944,74.371,-17.94,99,96,1.64,RU,1675743896
228,izumo,35.3667,132.7667,11.97,50,75,4.12,JP,1675743896
229,nago,26.5881,127.9761,22.24,80,57,5.75,JP,1675743896
230,kumeny,58.1089,49.9161,-24.4,100,100,1.12,RU,1675743897
231,khani,41.9563,42.9566,-1.24,81,100,0.81,GE,1675743897
232,geraldton,-28.7667,114.6,27.23,54,0,6.69,AU,1675743897
233,ketchikan,55.3422,-131.6461,3.99,87,75,2.06,US,1675743898
234,kologriv,58.8275,44.3178,-10.33,98,100,1.26,RU,1675743898
235,port alfred,-33.5906,26.891,21.77,88,100,3.58,ZA,1675743898
236,kurilsk,45.2333,147.8833,-6.16,56,99,5.66,RU,1675743899
237,bayan,46.0833,127.4,-10.34,75,15,3.3,CN,1675743899
238,neiafu,-18.65,-173.9833,24.38,94,75,1.03,TO,1675743899
239,shellbrook,53.2168,-106.4011,-6.43,94,80,2.05,CA,1675743847
240,gao,16.6362,1.637,23.54,15,100,5.57,ML,1675743900
241,hami,42.8,93.45,1.2,45,100,0.95,CN,1675743900
242,chalmette,29.9427,-89.9634,17.22,81,40,5.14,US,1675743900
243,doraha,30.8167,76.0167,18.31,59,2,3.67,IN,1675743900
244,clyde river,70.4692,-68.5914,-32.87,68,100,1.54,CA,1675743901
245,ilulissat,69.2167,-51.1,-18.99,78,100,2.57,GL,1675743901
246,murgab,37.4966,61.9714,6.93,61,0,7.2,TM,1675743901
247,barstow,34.8986,-117.0228,11.55,30,0,1.95,US,1675743902
248,ngunguru,-35.6167,174.5,22.06,64,12,1.6,NZ,1675743903
249,salinas,36.6777,-121.6555,10.28,78,0,2.06,US,1675743847
250,lang son,21.8333,106.7333,19.29,93,100,1.08,VN,1675743903
251,konyshevka,51.8418,35.2941,-10.13,96,43,2.48,RU,1675743905
252,swan river,52.1058,-101.2676,-9.06,67,89,2.57,CA,1675743906
253,chingirlau,51.095,54.0814,-19.37,99,30,2.45,KZ,1675743906
254,mataram,-8.5833,116.1167,30.45,68,99,3.37,ID,1675743907
255,bitkine,11.9801,18.2138,19.21,19,7,3.06,TD,1675743908
256,assiniboia,49.6334,-105.9845,-3.1,74,11,6.17,CA,1675743908
257,columbus,39.9612,-82.9988,1.29,83,75,3.6,US,1675743714
258,caceres,39.522,-6.3748,3.93,83,0,5.85,ES,1675743910
259,waingapu,-9.6567,120.2641,29.35,70,71,6.3,ID,1675743911
260,nyurba,63.2842,118.3319,-34.58,96,98,0.21,RU,1675743912
261,blagoveshchensk,50.2667,127.5333,-17.55,50,0,3.0,RU,1675743912
262,doka,13.5167,35.7667,21.16,27,77,4.48,SD,1675743913
263,okoneshnikovo,54.8377,75.0834,-19.71,100,98,2.49,RU,1675743685
264,kemijarvi,66.7131,27.4306,0.51,98,100,4.52,FI,1675743914
265,voh,-20.9667,164.7,29.88,72,100,0.64,NC,1675743914
